Date	Open*	High	Low	Close**	Volume	Market Cap
May 31, 2021	$2,387.20	$2,715.86	$2,279.51	$2,714.95	$31,007,383,150	$315,217,277,483
May 30, 2021	$2,278.29	$2,472.19	$2,188.83	$2,390.31	$25,876,619,428	$277,492,990,927
May 29, 2021	$2,414.07	$2,566.94	$2,208.49	$2,279.51	$33,773,720,220	$264,600,384,052
May 28, 2021	$2,742.47	$2,761.36	$2,336.36	$2,419.91	$39,999,114,805	$280,864,129,343
May 27, 2021	$2,888.75	$2,888.75	$2,642.61	$2,736.49	$33,373,635,283	$317,571,010,585
May 26, 2021	$2,707.05	$2,911.74	$2,652.09	$2,888.70	$42,499,766,020	$335,196,485,646
May 25, 2021	$2,649.03	$2,750.53	$2,394.36	$2,706.63	$49,558,333,256	$314,033,309,034
May 24, 2021	$2,099.94	$2,672.60	$2,090.64	$2,643.59	$53,697,121,740	$306,684,156,290
May 23, 2021	$2,298.37	$2,384.41	$1,737.47	$2,109.58	$56,005,721,977	$244,704,904,961
May 22, 2021	$2,436.01	$2,483.98	$2,168.12	$2,295.71	$42,089,937,660	$266,263,966,984
May 21, 2021	$2,772.34	$2,938.21	$2,113.35	$2,430.62	$53,774,070,802	$281,879,243,639
May 20, 2021	$2,439.64	$2,993.15	$2,170.23	$2,784.29	$67,610,826,680	$322,857,390,499
May 19, 2021	$3,382.66	$3,437.94	$1,952.46	$2,460.68	$84,482,912,776	$285,298,709,245
May 18, 2021	$3,276.87	$3,562.47	$3,246.40	$3,380.07	$40,416,525,218	$391,850,295,263
May 17, 2021	$3,581.34	$3,587.77	$3,129.01	$3,282.40	$54,061,732,774	$380,482,843,865
May 16, 2021	$3,641.83	$3,878.90	$3,350.95	$3,587.51	$47,359,478,734	$415,801,534,962
May 15, 2021	$4,075.95	$4,129.19	$3,638.12	$3,638.12	$42,422,321,751	$421,619,090,683
May 14, 2021	$3,720.12	$4,171.02	$3,703.40	$4,079.06	$48,174,271,215	$472,663,570,788
May 13, 2021	$3,828.92	$4,032.56	$3,549.41	$3,715.15	$78,398,214,539	$430,445,282,301
May 12, 2021	$4,174.64	$4,362.35	$3,785.85	$3,785.85	$69,023,382,175	$438,585,075,674
May 11, 2021	$3,948.27	$4,178.21	$3,783.89	$4,168.70	$52,679,737,865	$482,881,900,491
May 10, 2021	$3,924.41	$4,197.47	$3,684.45	$3,952.29	$62,691,789,007	$457,761,219,807
May 09, 2021	$3,911.46	$3,981.26	$3,743.99	$3,928.84	$50,568,290,278	$454,991,994,900
May 08, 2021	$3,481.99	$3,950.16	$3,453.77	$3,902.65	$50,208,491,286	$451,905,650,094
May 07, 2021	$3,490.11	$3,573.29	$3,370.26	$3,484.73	$39,607,240,515	$403,465,702,897
May 06, 2021	$3,524.93	$3,598.90	$3,386.24	$3,490.88	$44,300,394,788	$404,131,394,792
May 05, 2021	$3,240.55	$3,541.46	$3,213.10	$3,522.78	$48,334,198,383	$407,777,080,466
May 04, 2021	$3,431.13	$3,523.59	$3,180.74	$3,253.63	$62,402,045,158	$376,577,399,574
May 03, 2021	$2,951.18	$3,450.04	$2,951.18	$3,431.09	$49,174,290,212	$397,069,786,479
May 02, 2021	$2,945.56	$2,984.89	$2,860.53	$2,952.06	$28,032,013,047	$341,593,133,886
May 01, 2021	$2,772.84	$2,951.44	$2,755.91	$2,945.89	$28,726,205,272	$340,840,444,354
Apr 30, 2021	$2,757.73	$2,796.05	$2,728.17	$2,773.21	$29,777,179,889	$320,822,874,721
Apr 29, 2021	$2,748.65	$2,797.97	$2,672.11	$2,756.88	$32,578,127,990	$318,896,956,051
Apr 28, 2021	$2,664.69	$2,757.48	$2,564.08	$2,746.38	$34,269,031,076	$317,645,696,234
Apr 27, 2021	$2,534.03	$2,676.39	$2,485.38	$2,662.87	$32,275,969,215	$307,950,352,777
Apr 26, 2021	$2,319.48	$2,536.34	$2,308.32	$2,534.48	$35,208,325,408	$293,069,092,286
Apr 25, 2021	$2,214.41	$2,354.09	$2,172.52	$2,316.06	$31,814,355,546	$267,780,847,561
Apr 24, 2021	$2,367.20	$2,367.74	$2,163.69	$2,211.63	$31,854,226,936	$255,676,477,656
Apr 23, 2021	$2,401.26	$2,439.54	$2,117.04	$2,363.59	$55,413,933,925	$273,212,191,169
Apr 22, 2021	$2,357.87	$2,641.09	$2,315.96	$2,403.54	$53,575,904,724	$277,797,467,179
Apr 21, 2021	$2,331.16	$2,467.20	$2,238.37	$2,364.75	$38,899,067,643	$273,282,959,377
Apr 20, 2021	$2,161.94	$2,345.84	$2,060.14	$2,330.21	$39,433,483,315	$269,259,968,844
Apr 19, 2021	$2,238.03	$2,276.78	$2,086.69	$2,166.19	$34,060,654,971	$250,277,144,257
Apr 18, 2021	$2,346.45	$2,365.46	$2,011.77	$2,237.14	$50,696,368,718	$258,444,691,650
Apr 17, 2021	$2,429.98	$2,497.39	$2,333.68	$2,344.89	$32,349,808,978	$270,861,474,697
Apr 16, 2021	$2,516.60	$2,547.56	$2,318.68	$2,431.95	$36,196,928,256	$280,884,355,082
Apr 15, 2021	$2,436.03	$2,544.27	$2,409.92	$2,519.12	$32,325,606,817	$290,918,491,377
Apr 14, 2021	$2,299.35	$2,449.69	$2,284.56	$2,435.11	$35,592,822,986	$281,183,637,540
Apr 13, 2021	$2,139.36	$2,318.42	$2,138.56	$2,299.19	$29,456,642,939	$265,458,239,569
Apr 12, 2021	$2,157.36	$2,199.72	$2,110.37	$2,139.35	$21,727,936,609	$246,975,320,276
Apr 11, 2021	$2,136.16	$2,165.19	$2,119.87	$2,157.66	$19,692,836,132	$249,059,103,192
Apr 10, 2021	$2,071.11	$2,197.00	$2,062.79	$2,135.94	$24,986,243,611	$246,523,420,885
Apr 09, 2021	$2,088.77	$2,102.87	$2,055.16	$2,072.11	$19,812,472,092	$239,127,946,688
Apr 08, 2021	$1,969.13	$2,091.52	$1,959.08	$2,088.57	$25,312,956,529	$241,000,078,758
Apr 07, 2021	$2,117.73	$2,133.19	$1,945.44	$1,971.08	$36,116,271,935	$227,414,944,867
Apr 06, 2021	$2,109.49	$2,151.22	$2,057.61	$2,118.38	$29,222,865,881	$244,382,061,190
Apr 05, 2021	$2,093.26	$2,140.99	$2,032.39	$2,107.89	$28,889,391,170	$243,143,128,760
Apr 04, 2021	$2,027.67	$2,110.35	$2,007.11	$2,093.12	$26,006,501,902	$241,411,837,678
Apr 03, 2021	$2,142.90	$2,144.96	$2,028.42	$2,028.42	$32,011,518,871	$233,921,770,622
Apr 02, 2021	$1,976.93	$2,152.45	$1,960.68	$2,143.23	$34,862,511,022	$247,132,282,844
